_id,zip,provider,zone
ObjectId(5911299b3c888a01983cecb6),85224,Cox,B
ObjectId(5911299b3c888a01983cecb7),85392,Cox,C
ObjectId(5911299b3c888a01983cecb8),85286,Cox,C
ObjectId(5911299b3c888a01983cecb9),85128,Cox,C
ObjectId(5911299b3c888a01983cecba),85228,Cox,C
ObjectId(5911299b3c888a01983cecbb),85132,Cox,C
ObjectId(5911299b3c888a01983cecbc),85232,Cox,C
ObjectId(5911299b3c888a01983cecbd),85292,Cox,C
ObjectId(5911299b3c888a01983cecbe),85295,Cox,C
ObjectId(5911299b3c888a01983cecbf),85298,Cox,C
ObjectId(5911299b3c888a01983cecc0),85395,Cox,C
ObjectId(5911299b3c888a01983cecc1),85211,Cox,C
ObjectId(5911299b3c888a01983cecc2),85201,Cox,C
ObjectId(5911299b3c888a01983cecc3),85210,Cox,C
ObjectId(5911299b3c888a01983cecc4),85206,Cox,C
ObjectId(5911299b3c888a01983cecc5),85202,Cox,C
ObjectId(5911299b3c888a01983cecc6),85203,Cox,C
ObjectId(5911299b3c888a01983cecc7),85204,Cox,C
ObjectId(5911299b3c888a01983cecc8),85205,Cox,C
ObjectId(5911299b3c888a01983cecc9),85215,Cox,C
ObjectId(5911299b3c888a01983cecca),85207,Cox,C
ObjectId(5911299b3c888a01983ceccb),85213,Cox,C
ObjectId(5911299b3c888a01983ceccc),85208,Cox,C
ObjectId(5911299b3c888a01983ceccd),85209,Cox,C
ObjectId(5911299b3c888a01983cecce),85212,Cox,C
ObjectId(5911299b3c888a01983ceccf),85083,Cox,C
ObjectId(5911299b3c888a01983cecd0),85140,Cox,C
ObjectId(5911299b3c888a01983cecd1),85142,Cox,C
ObjectId(5911299b3c888a01983cecd2),85242,Cox,C
ObjectId(5911299b3c888a01983cecd3),85243,Cox,C
ObjectId(5911299b3c888a01983cecd4),85240,Cox,C
ObjectId(5911299b3c888a01983cecd5),85143,Cox,C
ObjectId(5911299b3c888a01983cecd6),85358,Cox,C
ObjectId(5911299b3c888a01983cecd7),85390,Cox,C
ObjectId(5911299b3c888a01983cecd8),85086,Cox,C
ObjectId(5911299b3c888a01983cecd9),85056,Cox,C
ObjectId(5911299b3c888a01983cecda),85323,Cox,C
ObjectId(5911299b3c888a01983cecdb),85326,Cox,C
ObjectId(5911299b3c888a01983cecdc),85396,Cox,C
ObjectId(5911299b3c888a01983cecdd),85377,Cox,C
ObjectId(5911299b3c888a01983cecde),85122,Cox,C
ObjectId(5911299b3c888a01983cecdf),85222,Cox,C
ObjectId(5911299b3c888a01983cece0),85331,Cox,C
ObjectId(5911299b3c888a01983cece1),85225,Cox,C
ObjectId(5911299b3c888a01983cece2),85226,Cox,C
ObjectId(5911299b3c888a01983cece3),85248,Cox,C
ObjectId(5911299b3c888a01983cece4),85249,Cox,C
ObjectId(5911299b3c888a01983cece5),85335,Cox,C
ObjectId(5911299b3c888a01983cece6),85268,Cox,C
ObjectId(5911299b3c888a01983cece7),85233,Cox,C
ObjectId(5911299b3c888a01983cece8),85234,Cox,C
ObjectId(5911299b3c888a01983cece9),85296,Cox,C
ObjectId(5911299b3c888a01983cecea),85297,Cox,C
ObjectId(5911299b3c888a01983ceceb),85301,Cox,C
ObjectId(5911299b3c888a01983cecec),85306,Cox,C
ObjectId(5911299b3c888a01983ceced),85302,Cox,C
