zip,provider,zone
07059,Altice USA,A
07826,Altice USA,A
07827,Altice USA,A
07920,Altice USA,A
07921,Altice USA,A
07931,Altice USA,A
07938,Altice USA,A
07939,Altice USA,A
08805,Altice USA,A
08807,Altice USA,A
08812,Altice USA,A
08835,Altice USA,A
08836,Altice USA,A
08837,Altice USA,A
08854,Altice USA,A
08869,Altice USA,A
08876,Altice USA,A
08879,Altice USA,A
08880,Altice USA,A
18336,Altice USA,A
18337,Altice USA,A
07711,Altice USA,A
07712,Altice USA,A
07726,Altice USA,A
07746,Altice USA,A
07747,Altice USA,A
07751,Altice USA,A
08817,Altice USA,A
08820,Altice USA,A
08846,Altice USA,A
08850,Altice USA,A
08857,Altice USA,A
08859,Altice USA,A
08872,Altice USA,A
08902,Altice USA,A
08904,Altice USA,A
11701,Altice USA,A
11702,Altice USA,A
11703,Altice USA,A
11704,Altice USA,A
11705,Altice USA,A
11706,Altice USA,A
11713,Altice USA,A
11715,Altice USA,A
11716,Altice USA,A
11717,Altice USA,A
11718,Altice USA,A
11719,Altice USA,A
11720,Altice USA,A
11721,Altice USA,A
11722,Altice USA,A
11724,Altice USA,A
11725,Altice USA,A
11726,Altice USA,A
11727,Altice USA,A
11729,Altice USA,A
11730,Altice USA,A
11731,Altice USA,A
11733,Altice USA,A
11735,Altice USA,A
11738,Altice USA,A
11739,Altice USA,A
11740,Altice USA,A
11741,Altice USA,A
11742,Altice USA,A
11743,Altice USA,A
11746,Altice USA,A
11747,Altice USA,A
11749,Altice USA,A
11751,Altice USA,A
11752,Altice USA,A
11754,Altice USA,A
11755,Altice USA,A
11757,Altice USA,A
11763,Altice USA,A
11764,Altice USA,A
11766,Altice USA,A
11767,Altice USA,A
11768,Altice USA,A
11769,Altice USA,A
11770,Altice USA,A
11772,Altice USA,A
11776,Altice USA,A
11777,Altice USA,A
11778,Altice USA,A
11779,Altice USA,A
11780,Altice USA,A
11782,Altice USA,A
11784,Altice USA,A
11786,Altice USA,A
11787,Altice USA,A
11788,Altice USA,A
11789,Altice USA,A
11790,Altice USA,A
11792,Altice USA,A
11794,Altice USA,A
11795,Altice USA,A
11796,Altice USA,A
11798,Altice USA,A
11901,Altice USA,A
11930,Altice USA,A
11931,Altice USA,A
11932,Altice USA,A
11933,Altice USA,A
11934,Altice USA,A
11935,Altice USA,A
11937,Altice USA,A
11939,Altice USA,A
11940,Altice USA,A
11941,Altice USA,A
11942,Altice USA,A
11944,Altice USA,A
11946,Altice USA,A
11947,Altice USA,A
11948,Altice USA,A
11949,Altice USA,A
11950,Altice USA,A
11951,Altice USA,A
11952,Altice USA,A
11953,Altice USA,A
11954,Altice USA,A
11955,Altice USA,A
11956,Altice USA,A
11957,Altice USA,A
11958,Altice USA,A
