zip,provider,zone
35004,Charter,A
35005,Charter,A
35007,Charter,A
35010,Charter,A
35014,Charter,A
35015,Charter,A
35016,Charter,A
35020,Charter,A
35022,Charter,A
35023,Charter,A
35031,Charter,A
35032,Charter,A
35033,Charter,A
35034,Charter,A
35036,Charter,A
35038,Charter,A
35040,Charter,A
35042,Charter,A
35043,Charter,A
35044,Charter,A
35048,Charter,A
35051,Charter,A
35053,Charter,A
35055,Charter,A
35057,Charter,A
35058,Charter,A
35060,Charter,A
35061,Charter,A
35062,Charter,A
35063,Charter,A
35064,Charter,A
35068,Charter,A
35070,Charter,A
35071,Charter,A
35072,Charter,A
35073,Charter,A
35077,Charter,A
35078,Charter,A
35079,Charter,A
35080,Charter,A
35082,Charter,A
35083,Charter,A
35085,Charter,A
35089,Charter,A
35091,Charter,A
35094,Charter,A
35096,Charter,A
35112,Charter,A
35114,Charter,A
35115,Charter,A
35116,Charter,A
35117,Charter,A
35118,Charter,A
35119,Charter,A
35120,Charter,A
35123,Charter,A
35124,Charter,A
35126,Charter,A
35127,Charter,A
35130,Charter,A
35136,Charter,A
35137,Charter,A
35139,Charter,A
35142,Charter,A
35146,Charter,A
35147,Charter,A
35148,Charter,A
35149,Charter,A
35150,Charter,A
35151,Charter,A
35160,Charter,A
35173,Charter,A
35175,Charter,A
35176,Charter,A
35178,Charter,A
35179,Charter,A
35180,Charter,A
35181,Charter,A
35183,Charter,A
35184,Charter,A
35185,Charter,A
35187,Charter,A
35188,Charter,A
35203,Charter,A
35204,Charter,A
35205,Charter,A
35207,Charter,A
35208,Charter,A
35209,Charter,A
35210,Charter,A
35211,Charter,A
35212,Charter,A
35213,Charter,A
35214,Charter,A
35215,Charter,A
35216,Charter,A
35217,Charter,A
35218,Charter,A
35219,Charter,A
35221,Charter,A
35222,Charter,A
35223,Charter,A
35224,Charter,A
35226,Charter,A
35228,Charter,A
35233,Charter,A
35234,Charter,A
35235,Charter,A
35236,Charter,A
35238,Charter,A
35242,Charter,A
35243,Charter,A
35244,Charter,A
35249,Charter,A
35260,Charter,A
35401,Charter,A
35404,Charter,A
35405,Charter,A
35406,Charter,A
35444,Charter,A
35446,Charter,A
35449,Charter,A
35452,Charter,A
35453,Charter,A
35456,Charter,A
35458,Charter,A
35463,Charter,A
35469,Charter,A
35473,Charter,A
35474,Charter,A
35475,Charter,A
35476,Charter,A
35478,Charter,A
35480,Charter,A
35490,Charter,A
35501,Charter,A
35503,Charter,A
35504,Charter,A
35540,Charter,A
35544,Charter,A
35549,Charter,A
35550,Charter,A
35554,Charter,A
35555,Charter,A
35563,Charter,A
35570,Charter,A
35573,Charter,A
35578,Charter,A
35580,Charter,A
35581,Charter,A
35584,Charter,A
35585,Charter,A
35586,Charter,A
35592,Charter,A
35601,Charter,A
35603,Charter,A
35611,Charter,A
35613,Charter,A
35614,Charter,A
35619,Charter,A
35620,Charter,A
35622,Charter,A
35630,Charter,A
35634,Charter,A
35640,Charter,A
35643,Charter,A
35645,Charter,A
35646,Charter,A
35648,Charter,A
35650,Charter,A
35652,Charter,A
35653,Charter,A
35654,Charter,A
35661,Charter,A
35670,Charter,A
35671,Charter,A
35673,Charter,A
35674,Charter,A
35740,Charter,A
35744,Charter,A
35747,Charter,A
35748,Charter,A
35749,Charter,A
35752,Charter,A
35754,Charter,A
35756,Charter,A
35764,Charter,A
35765,Charter,A
35766,Charter,A
35768,Charter,A
35769,Charter,A
35771,Charter,A
35772,Charter,A
35773,Charter,A
35775,Charter,A
35776,Charter,A
35803,Charter,A
35806,Charter,A
35810,Charter,A
35901,Charter,A
35903,Charter,A
35904,Charter,A
35905,Charter,A
35906,Charter,A
35907,Charter,A
35950,Charter,A
35951,Charter,A
35952,Charter,A
35953,Charter,A
35954,Charter,A
35956,Charter,A
35957,Charter,A
35958,Charter,A
35960,Charter,A
35962,Charter,A
35964,Charter,A
35967,Charter,A
35968,Charter,A
35971,Charter,A
35974,Charter,A
35976,Charter,A
35979,Charter,A
35980,Charter,A
35984,Charter,A
35987,Charter,A
35989,Charter,A
35990,Charter,A
36003,Charter,A
36006,Charter,A
36008,Charter,A
36013,Charter,A
36022,Charter,A
36043,Charter,A
36047,Charter,A
36051,Charter,A
36052,Charter,A
36057,Charter,A
36064,Charter,A
36066,Charter,A
36067,Charter,A
36069,Charter,A
36078,Charter,A
36083,Charter,A
36088,Charter,A
36092,Charter,A
36101,Charter,A
36104,Charter,A
36105,Charter,A
36106,Charter,A
36107,Charter,A
36108,Charter,A
36109,Charter,A
36110,Charter,A
36111,Charter,A
36112,Charter,A
36113,Charter,A
36114,Charter,A
36115,Charter,A
36116,Charter,A
36117,Charter,A
36118,Charter,A
