zip,provider,zone
01003,Comcast,A
01004,Comcast,A
01009,Comcast,A
01011,Comcast,A
01027,Comcast,A
01030,Comcast,A
01031,Comcast,A
01033,Comcast,A
01034,Comcast,A
01037,Comcast,A
01038,Comcast,A
01039,Comcast,A
01040,Comcast,A
01041,Comcast,A
01050,Comcast,A
01053,Comcast,A
01057,Comcast,A
01059,Comcast,A
01060,Comcast,A
01062,Comcast,A
01066,Comcast,A
01069,Comcast,A
01075,Comcast,A
01077,Comcast,A
01079,Comcast,A
01080,Comcast,A
01082,Comcast,A
01083,Comcast,A
01085,Comcast,A
01086,Comcast,A
01088,Comcast,A
01089,Comcast,A
01092,Comcast,A
01093,Comcast,A
01094,Comcast,A
01096,Comcast,A
01103,Comcast,A
01104,Comcast,A
01105,Comcast,A
01106,Comcast,A
01107,Comcast,A
01108,Comcast,A
01109,Comcast,A
01111,Comcast,A
01115,Comcast,A
01118,Comcast,A
01119,Comcast,A
01128,Comcast,A
01129,Comcast,A
01144,Comcast,A
01151,Comcast,A
01199,Comcast,A
01301,Comcast,A
01331,Comcast,A
01337,Comcast,A
01338,Comcast,A
01341,Comcast,A
01342,Comcast,A
01344,Comcast,A
01347,Comcast,A
01349,Comcast,A
01351,Comcast,A
01360,Comcast,A
01370,Comcast,A
01373,Comcast,A
01375,Comcast,A
01376,Comcast,A
01420,Comcast,A
01430,Comcast,A
01431,Comcast,A
01432,Comcast,A
01436,Comcast,A
01438,Comcast,A
01440,Comcast,A
01453,Comcast,A
01460,Comcast,A
01462,Comcast,A
01464,Comcast,A
01468,Comcast,A
01469,Comcast,A
01473,Comcast,A
01474,Comcast,A
01475,Comcast,A
01504,Comcast,A
01510,Comcast,A
01523,Comcast,A
01561,Comcast,A
01564,Comcast,A
01701,Comcast,A
01702,Comcast,A
01718,Comcast,A
01719,Comcast,A
01720,Comcast,A
01721,Comcast,A
01730,Comcast,A
01731,Comcast,A
01740,Comcast,A
01741,Comcast,A
01742,Comcast,A
01745,Comcast,A
01746,Comcast,A
01747,Comcast,A
01748,Comcast,A
01749,Comcast,A
01752,Comcast,A
01754,Comcast,A
01756,Comcast,A
01757,Comcast,A
01760,Comcast,A
01770,Comcast,A
01772,Comcast,A
01773,Comcast,A
01775,Comcast,A
01776,Comcast,A
01778,Comcast,A
01801,Comcast,A
01803,Comcast,A
01805,Comcast,A
01810,Comcast,A
01821,Comcast,A
01824,Comcast,A
01826,Comcast,A
01830,Comcast,A
01831,Comcast,A
01832,Comcast,A
01833,Comcast,A
01834,Comcast,A
01835,Comcast,A
01840,Comcast,A
01841,Comcast,A
01843,Comcast,A
01844,Comcast,A
01845,Comcast,A
01850,Comcast,A
01851,Comcast,A
01852,Comcast,A
01853,Comcast,A
01854,Comcast,A
01860,Comcast,A
01862,Comcast,A
01863,Comcast,A
01864,Comcast,A
01865,Comcast,A
01866,Comcast,A
01867,Comcast,A
01876,Comcast,A
01879,Comcast,A
01880,Comcast,A
01886,Comcast,A
01887,Comcast,A
01890,Comcast,A
01901,Comcast,A
01902,Comcast,A
01904,Comcast,A
01905,Comcast,A
01906,Comcast,A
01907,Comcast,A
01908,Comcast,A
01915,Comcast,A
01921,Comcast,A
01922,Comcast,A
01923,Comcast,A
01929,Comcast,A
01930,Comcast,A
01931,Comcast,A
01936,Comcast,A
01938,Comcast,A
01940,Comcast,A
01944,Comcast,A
01949,Comcast,A
01950,Comcast,A
01951,Comcast,A
01952,Comcast,A
01960,Comcast,A
01965,Comcast,A
01966,Comcast,A
01982,Comcast,A
01983,Comcast,A
01984,Comcast,A
01985,Comcast,A
02018,Comcast,A
02019,Comcast,A
02020,Comcast,A
02021,Comcast,A
02025,Comcast,A
02026,Comcast,A
