zip,provider,zone
64720,Fidelity,A
64744,Fidelity,A
64701,Fidelity,A
64772,Fidelity,A
65066,Fidelity,A
65560,Fidelity,A
63080,Fidelity,A
65775,Fidelity,A
65622,Fidelity,A
63037,Fidelity,A
65536,Fidelity,A
63068,Fidelity,A
65401,Fidelity,A
65402,Fidelity,A
65409,Fidelity,A
65791,Fidelity,A
73501,Fidelity,D
73502,Fidelity,D
73505,Fidelity,D
73506,Fidelity,D
73507,Fidelity,D
72002,Fidelity,C
72012,Fidelity,C
72022,Fidelity,C
72089,Fidelity,C
72542,Fidelity,C
72065,Fidelity,C
72201,Fidelity,C
72202,Fidelity,C
72203,Fidelity,C
72204,Fidelity,C
72205,Fidelity,C
72206,Fidelity,C
72207,Fidelity,C
72209,Fidelity,C
72210,Fidelity,C
72211,Fidelity,C
72212,Fidelity,C
72214,Fidelity,C
72215,Fidelity,C
72216,Fidelity,C
72217,Fidelity,C
72219,Fidelity,C
72221,Fidelity,C
72222,Fidelity,C
72223,Fidelity,C
72225,Fidelity,C
72227,Fidelity,C
72231,Fidelity,C
72260,Fidelity,C
72295,Fidelity,C
72554,Fidelity,C
72114,Fidelity,C
72115,Fidelity,C
72116,Fidelity,C
72117,Fidelity,C
72118,Fidelity,C
72119,Fidelity,C
72124,Fidelity,C
72190,Fidelity,C
72198,Fidelity,C
72199,Fidelity,C
72103,Fidelity,C
72011,Fidelity,C
72015,Fidelity,C
72018,Fidelity,C
72019,Fidelity,C
72158,Fidelity,C
72525,Fidelity,C
72529,Fidelity,C
72113,Fidelity,C
72016,Fidelity,C
72023,Fidelity,C
72046,Fidelity,C
72076,Fidelity,C
72106,Fidelity,C
72120,Fidelity,C
72122,Fidelity,C
72126,Fidelity,C
72135,Fidelity,C
72142,Fidelity,C
75551,Fidelity,A
75650,Fidelity,A
75670,Fidelity,A
75671,Fidelity,A
75672,Fidelity,A
75633,Fidelity,A
75657,Fidelity,A
75572,Fidelity,A
70729,Fidelity,A
70749,Fidelity,A
70759,Fidelity,A
70762,Fidelity,A
70783,Fidelity,A
70736,Fidelity,A
70752,Fidelity,A
70760,Fidelity,A
70773,Fidelity,A
