provider,price,Zone
Service Electric,8 x 2 $99,A
Service Electric,12 x 2 $149,A
Service Electric,25 x 3 $189,A
Service Electric,35 x 3 $209,A
Service Electric,50 x 5 $229,A
Service Electric,100 x 5 $319,A
Service Electric,8 x 2 $99,B
Service Electric,12 x 2 $109,B
Service Electric,25 x 3 $139,B
Service Electric,35 x 3 $149,B
Service Electric,50 x 5 $185,B
Service Electric,100 x 5 $259,B
Service Electric,8 x 2 $99,C
Service Electric,12 x 2 $149,C
Service Electric,25 x 3 $189,C
Service Electric,35 x 3 $209,C
Service Electric,50 x 5 $229,C
Service Electric,100 x 5 $289,C
