zip,provider,zone
86432,TDS Baja,A
80001,TDS Baja,A
80002,TDS Baja,A
80003,TDS Baja,A
80004,TDS Baja,A
80005,TDS Baja,A
80006,TDS Baja,A
80007,TDS Baja,A
80610,TDS Baja,A
80512,TDS Baja,A
80840,TDS Baja,A
80904,TDS Baja,A
80901,TDS Baja,A
80902,TDS Baja,A
80903,TDS Baja,A
80905,TDS Baja,A
80906,TDS Baja,A
80907,TDS Baja,A
80908,TDS Baja,A
80909,TDS Baja,A
80910,TDS Baja,A
80911,TDS Baja,A
80912,TDS Baja,A
80913,TDS Baja,A
80914,TDS Baja,A
80915,TDS Baja,A
80916,TDS Baja,A
80917,TDS Baja,A
80918,TDS Baja,A
80919,TDS Baja,A
80920,TDS Baja,A
80921,TDS Baja,A
80922,TDS Baja,A
80923,TDS Baja,A
80924,TDS Baja,A
80925,TDS Baja,A
80926,TDS Baja,A
80927,TDS Baja,A
80928,TDS Baja,A
80929,TDS Baja,A
80930,TDS Baja,A
80931,TDS Baja,A
80932,TDS Baja,A
80933,TDS Baja,A
80934,TDS Baja,A
80935,TDS Baja,A
80936,TDS Baja,A
80937,TDS Baja,A
80938,TDS Baja,A
80939,TDS Baja,A
80940,TDS Baja,A
80941,TDS Baja,A
80942,TDS Baja,A
80943,TDS Baja,A
80944,TDS Baja,A
80945,TDS Baja,A
80946,TDS Baja,A
80947,TDS Baja,A
80948,TDS Baja,A
80949,TDS Baja,A
80950,TDS Baja,A
80951,TDS Baja,A
80960,TDS Baja,A
80962,TDS Baja,A
80970,TDS Baja,A
80977,TDS Baja,A
80995,TDS Baja,A
80997,TDS Baja,A
81321,TDS Baja,A
80615,TDS Baja,A
80511,TDS Baja,A
80521,TDS Baja,A
80522,TDS Baja,A
80523,TDS Baja,A
80524,TDS Baja,A
80525,TDS Baja,A
80526,TDS Baja,A
80527,TDS Baja,A
80528,TDS Baja,A
80553,TDS Baja,A
80534,TDS Baja,A
80535,TDS Baja,A
80515,TDS Baja,A
80513,TDS Baja,A
80543,TDS Baja,A
80650,TDS Baja,A
80546,TDS Baja,A
80860,TDS Baja,A
80863,TDS Baja,A
80866,TDS Baja,A
80814,TDS Baja,A
80813,TDS Baja,A
80816,TDS Baja,A
80827,TDS Baja,A
80504,TDS Baja,A
80414,TDS Baja,A
80520,TDS Baja,A
80530,TDS Baja,A
80549,TDS Baja,A
89007,TDS Baja,A
89027,TDS Baja,A
89024,TDS Baja,A
89034,TDS Baja,A
88310,TDS Baja,A
88311,TDS Baja,A
87511,TDS Baja,A
88312,TDS Baja,A
87514,TDS Baja,A
88316,TDS Baja,A
88220,TDS Baja,A
88221,TDS Baja,A
87520,TDS Baja,A
87566,TDS Baja,A
87010,TDS Baja,A
87015,TDS Baja,A
87056,TDS Baja,A
87501,TDS Baja,A
87502,TDS Baja,A
87503,TDS Baja,A
87504,TDS Baja,A
87505,TDS Baja,A
87506,TDS Baja,A
87507,TDS Baja,A
87508,TDS Baja,A
87509,TDS Baja,A
87535,TDS Baja,A
87540,TDS Baja,A
87567,TDS Baja,A
87574,TDS Baja,A
87592,TDS Baja,A
87594,TDS Baja,A
87522,TDS Baja,A
87527,TDS Baja,A
88210,TDS Baja,A
88211,TDS Baja,A
88250,TDS Baja,A
88254,TDS Baja,A
88255,TDS Baja,A
88256,TDS Baja,A
88263,TDS Baja,A
88268,TDS Baja,A
87537,TDS Baja,A
87532,TDS Baja,A
